Ticker,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,GOOG,GOOG,GOOG,GOOG,GOOG,MSFT,MSFT,MSFT,MSFT,MSFT,NVDA,NVDA,NVDA,NVDA,NVDA
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,9.986666679382324,10.165332794189453,9.770000457763672,10.006667137145996,92826000,17.2357991165468,17.27767244413937,17.122274989377967,17.15670394897461,234684800,19.940000534057617,19.968000411987305,19.701000213623047,19.898500442504883,42756000,54.44965278505199,54.83694679642502,53.81408920500106,54.330482482910156,43195500,27.57554535738275,27.63215621421683,27.397551418328465,27.517696380615234,73129082,30.988764427408896,31.03025125083268,30.781342970291032,30.831125259399414,30632200,0.37527834076354183,0.3766927162541802,0.3705637932626402,0.37386396527290344,260092000
2014-01-03,10.0,10.145999908447266,9.90666675567627,9.970666885375977,70425000,17.148328361425026,17.174381989987175,16.762780047147636,16.77984046936035,392467600,19.914499282836914,20.135499954223633,19.81100082397461,19.82200050354004,44204000,54.63833816533787,55.263969047159264,54.15173552653556,54.1815299987793,38246200,27.56417254839006,27.61188370713167,27.315229042277636,27.316959381103516,66917888,30.86432418051372,30.880918282651255,30.366510611391718,30.623714447021484,31134800,0.374571149639216,0.37527833737815564,0.36820651619059813,0.36938515305519104,259332000
2014-01-06,10.0,10.026666641235352,9.682666778564453,9.800000190734863,80416500,16.67034310212706,16.960355280594396,16.55092515345558,16.871335983276367,412610800,19.792499542236328,19.850000381469727,19.42099952697754,19.681499481201172,63412000,54.04249679231693,56.862796393576275,53.67506447400874,56.80321502685547,68852600,27.51498025523284,27.659597977089472,27.35256124474395,27.62152862548828,71037271,30.573920778504448,30.60710897044588,29.959955052588857,29.97654914855957,43603700,0.37315680275955554,0.3771641908870277,0.36962089189478947,0.37433546781539917,409492000
2014-01-07,9.841333389282227,10.026666641235352,9.683333396911621,9.957332611083984,75511500,16.883433543155295,16.93430171321065,16.6849221163309,16.75067901611328,317209200,19.75200080871582,19.923500061035156,19.714500427246094,19.901500701904297,38320000,57.299747665120925,58.14384987376699,56.8230777814841,57.518218994140625,77207400,27.81138669661838,28.174542068516693,27.716458481396792,28.154022216796875,102486711,30.14249859688692,30.27524825097582,30.04293398256919,30.208871841430664,35802800,0.37810713065318186,0.38187878056269414,0.3755141459287012,0.3804644048213959,333288000
2014-01-08,9.923333168029785,10.24666690826416,9.917332649230957,10.085332870483398,92448000,16.71253318844471,16.921901481970018,16.708812660976314,16.856765747070312,258529600,19.923500061035156,20.149999618530273,19.802000045776367,20.09600067138672,46330000,57.20043801015828,58.004820554749706,56.83300569196806,57.82606887817383,56682400,28.33052883731136,28.363161056309107,28.016320911380213,28.212608337402344,90036218,29.86870080216388,29.984856354438733,29.52023414533932,29.669574737548828,59971700,0.3818787172604201,0.38753619118687527,0.38046434175357635,0.3856503665447235,308192000
2014-01-09,10.166666984558105,10.228667259216309,9.789999961853027,9.835332870483398,80730000,16.960361169172852,16.96222308928534,16.605211503303074,16.641502380371094,279148800,20.18549919128418,20.344499588012695,19.922000885009766,20.050500869750977,42060000,58.243151030490125,58.55099816014948,56.25702487481421,56.82307052612305,92253300,28.267245917447386,28.286527647901906,27.825229521769234,27.9409236907959,83692529,29.769134598805916,29.794024166032884,29.37088569816983,29.478742599487305,36516300,0.37975709216306713,0.38046427980133535,0.3700922881097863,0.37127092480659485,292172000
2014-01-10,9.897333145141602,9.926667213439941,9.483332633972168,9.714667320251465,111691500,16.744162635732806,16.77424986055856,16.473690693041664,16.530452728271484,304976000,20.12649917602539,20.187999725341797,19.690000534057617,19.882999420166016,53590000,56.73369957043913,57.89558165295065,56.66418545207871,57.53807830810547,42449500,28.15946165713518,28.15946165713518,27.7434022331565,27.939441680908203,86061375,29.78573424566649,29.993155784522102,29.661280056352517,29.90188980102539,40548800,0.37244962581224683,0.3750426101323928,0.3674993395905458,0.3707995116710663,218492000
2014-01-13,9.718667030334473,9.800000190734863,9.187999725341797,9.28933334350586,94741500,16.436476909951583,16.826986479339947,16.435545949927505,16.61699867248535,378492800,19.89900016784668,19.98900032043457,19.422500610351562,19.548999786376953,56898000,57.5082818898979,57.84592348321776,54.995833549986465,55.52215576171875,63010900,27.847724416824033,28.35302689084728,27.6178165334834,27.76144790649414,97118665,29.860399772193723,29.88528933875961,28.897964163302557,29.022415161132812,45901900,0.37079943995400405,0.3731567132987138,0.3613703465751651,0.362077534198761,243332000
