Ticker,META,META,META,META,META,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,AMZN,AMZN,AMZN,AMZN,AMZN,NVDA,NVDA,NVDA,NVDA,NVDA,GOOG,GOOG,GOOG,GOOG,GOOG,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,54.4940615028709,54.881671388259356,53.85797956205477,54.374794006347656,43195500,17.23579528426317,17.277668602545432,17.12227118233579,17.156700134277344,234684800,30.988779764215963,31.030266608172198,30.78135820444209,30.831140518188477,30632200,19.940000534057617,19.968000411987305,19.701000213623047,19.898500442504883,42756000,0.375278280933405,0.37669265619855136,0.3705637341841375,0.37386390566825867,260092000,27.5755472687411,27.63215812949908,27.397553317349423,27.517698287963867,73129082,5.240142822265625,5.251142978668213,5.154285907745361,5.183143138885498,123256000
2014-01-03,54.68289633589009,55.30903742663202,54.19589686724085,54.22571563720703,38246200,17.148328361425026,17.174381989987175,16.762780047147636,16.77984046936035,392467600,30.86431456884061,30.880908665810463,30.36650115474618,30.62370491027832,31134800,19.914499282836914,20.135499954223633,19.81100082397461,19.82200050354004,44204000,0.3745710891977496,0.3752782768225762,0.3682064567761403,0.36938509345054626,259332000,27.56417254839006,27.61188370713167,27.315229042277636,27.316959381103516,66917888,5.199999809265137,5.249570846557617,5.184286117553711,5.187142848968506,108171000
2014-01-06,54.08657461012352,56.90917448726504,53.71884260886683,56.849544525146484,68852600,16.67034687137878,16.960359115419386,16.55092889570628,16.871339797973633,412610800,30.573926614579072,30.607114812855603,29.959960771467202,29.97655487060547,43603700,19.792499542236328,19.850000381469727,19.42099952697754,19.681499481201172,63412000,0.37315683246803977,0.37716422091455587,0.3696209213217659,0.37433549761772156,409492000,27.514978355241688,27.65959606711204,27.352559355968314,27.62152671813965,71037271,5.189000129699707,5.2044291496276855,5.047571182250977,5.136713981628418,155015000
2014-01-07,57.34647502157128,58.19126558690984,56.869416418533945,57.56512451171875,77207400,16.88343546562028,16.93430364146784,16.684924016191996,16.750680923461914,317209200,30.142492887413177,30.27524251635716,30.042928291954585,30.208866119384766,35802800,19.75200080871582,19.923500061035156,19.714500427246094,19.901500701904297,38320000,0.37810704180016064,0.38187869082335674,0.37551405768501667,0.3804643154144287,333288000,27.811384812482252,28.1745401597779,27.716456603691757,28.154020309448242,102486711,4.968429088592529,4.969857215881348,4.815286159515381,4.849999904632568,361676000
2014-01-08,57.24708886781894,58.05212744122584,56.87935688351825,57.87322998046875,56682400,16.712529406387368,16.921897652532493,16.70880887976093,16.856761932373047,258529600,29.86869696186444,29.984852499204862,29.520230349843178,29.669570922851562,59971700,19.923500061035156,20.149999618530273,19.802000045776367,20.09600067138672,46330000,0.38187874677127664,0.3875362211349305,0.38046437115513265,0.3856503963470459,308192000,28.330530752632153,28.363162973836044,28.01632280545859,28.212610244750977,90036218,4.810429096221924,4.94257116317749,4.80742883682251,4.871285915374756,200011000
2014-01-09,58.29065791178114,58.59875614147176,56.302911743145124,56.86941909790039,92253300,16.960363113067157,16.96222503339305,16.605213406492265,16.641504287719727,279148800,29.769136524943637,29.794026093781024,29.37088759853985,29.478744506835938,36516300,20.18549919128418,20.344499588012695,19.922000885009766,20.050500869750977,42060000,0.37975724458064863,0.3804644325027505,0.37009243664834596,0.3712710738182068,292172000,28.26724398782282,28.286525716961098,27.82522762231831,27.940921783447266,83692529,4.882429122924805,4.914000034332275,4.785714149475098,4.815000057220459,170072000
2014-01-10,56.779968158654064,57.94279780221021,56.71039734876565,57.58500289916992,42449500,16.744172295769417,16.774259537953082,16.473700197037694,16.53046226501465,304976000,29.78573994548478,29.99316152403272,29.66128573235517,29.90189552307129,40548800,20.12649917602539,20.187999725341797,19.690000534057617,19.882999420166016,53590000,0.3724496557471941,0.37504264027574635,0.36749936912762304,0.37079954147338867,218492000,28.15945973476639,28.15945973476639,27.743400339190934,27.93943977355957,86061375,4.829570770263672,4.837714195251465,4.721857070922852,4.744856834411621,162379000
2014-01-13,57.555182108797034,57.89309906184101,55.04068477049368,55.56743621826172,63010900,16.43647313669597,16.826982616436627,16.43554217688561,16.616994857788086,378492800,29.86040958429798,29.885299159042557,28.897973659151216,29.022424697875977,45901900,19.89900016784668,19.98900032043457,19.422500610351562,19.548999786376953,56898000,0.3707995315146512,0.37315680544143703,0.36137043580750805,0.36207762360572815,243332000,27.847722503547775,28.353024942854244,27.61781463600295,27.761445999145508,97118665,4.730429172515869,4.980999946594238,4.730429172515869,4.81157112121582,272370000
