Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,NVDA,NVDA,NVDA,NVDA,NVDA,NFLX,NFLX,NFLX,NFLX,NFLX,META,META,META,META,META,AMZN,AMZN,AMZN,AMZN,AMZN
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,39.77320504052889,40.421031212231604,39.670917382189735,39.85844421386719,27913900,24.694227262199288,24.70531251878136,23.798592992568466,24.2375431060791,212818400,26.19879480379065,26.310720751145467,25.955631548667114,25.990793228149414,28951268,0.48301154375076294,0.48661076073287873,0.4753332523273247,0.48301154375076294,113680000,4.915143013000488,5.033143043518066,4.873143196105957,4.984857082366943,134750000,78.09854581231718,78.44639986205563,77.22393267851811,77.9693374633789,18177500,15.628999710083008,15.737500190734863,15.347999572753906,15.425999641418457,55664000
2015-01-05,39.52600274186114,39.83286893637475,39.42371509424517,39.49190902709961,39673900,24.00699796602637,24.0868071252046,23.368526383974206,23.554746627807617,257142000,25.91402725436861,25.967018877853754,25.408881993981527,25.44899559020996,41196796,0.4830113925341437,0.4844510788762667,0.4726937166923893,0.4748532176017761,197952000,4.925857067108154,4.925857067108154,4.714714050292969,4.731142997741699,181650000,77.50222453088053,78.76443998031914,76.38908397427544,76.7170639038086,26452200,15.350500106811523,15.418999671936035,15.042499542236328,15.10949993133545,55484000
2015-01-06,39.534547787119834,39.84993675039948,38.81852740314223,38.91229248046875,36447900,23.619028729260297,23.816334163580667,23.195596863475707,23.556955337524414,263188400,25.504962982608305,25.563154704382168,24.81410157164443,24.859167098999023,57998800,0.47557305263269817,0.47605293853725933,0.45997657480977905,0.4604564607143402,197764000,4.734714031219482,4.763999938964844,4.566143035888672,4.650143146514893,160377000,76.75682597363587,77.11461332816106,74.8982804712326,75.68344116210938,27399300,15.112000465393066,15.149999618530273,14.619000434875488,14.76449966430664,70380000
2015-01-07,39.19356843777374,39.602722311110746,38.775891948012735,39.40666961669922,29114100,23.765348404892794,23.98704009408535,23.654502560296518,23.887279510498047,160423600,25.108765909795647,25.120850190731755,24.744763650301703,24.816574096679688,41301082,0.46381569749056484,0.4678947992489874,0.4578170520855876,0.45925673842430115,321808000,4.734714031219482,4.742143154144287,4.627142906188965,4.674285888671875,98497000,76.28970438439839,76.8860267521408,75.35546120592345,75.68344116210938,22045300,14.875,15.064000129699707,14.766500473022461,14.920999526977539,52806000
2015-01-08,39.849932002360156,40.70233696497748,39.82436089401504,40.56595230102539,29645200,24.215379598807615,24.862718808875904,24.097881603917656,24.805078506469727,237458000,24.662552539967713,24.934440330883827,24.31637834315858,24.894821166992188,67071641,0.4645356136001299,0.479412279423408,0.4642956563047343,0.476532906293869,283780000,4.711999893188477,4.783570766448975,4.647857189178467,4.7779998779296875,96019000,76.26981676120015,77.75069308515504,75.61386448234238,77.70099639892578,23961000,15.015999794006348,15.156999588012695,14.805500030517578,15.02299976348877,61768000
2015-01-09,40.58300263617484,40.76200690606546,39.97779586559205,40.22499084472656,23944200,24.977999733362566,25.106581306246863,24.432638435105563,24.831684112548828,214798000,24.997836534488822,25.005758853155257,24.504080202146245,24.572423934936523,41427428,0.47821254518975764,0.48205169025342115,0.47173398431935015,0.4784524738788605,209540000,4.763143062591553,4.802000045776367,4.689857006072998,4.704143047332764,95781000,77.72088316618499,78.1383156835225,76.7270099411307,77.26370239257812,21157000,15.074000358581543,15.143500328063965,14.833999633789062,14.846500396728516,51848000
2015-01-12,40.421052220702464,40.52334318387245,39.51750480770838,39.72208023071289,23651900,24.962481036924252,24.96913151622689,24.12005372825121,24.21981430053711,198603200,24.511503850488506,24.562811368824818,24.146014504927287,24.39314079284668,46535413,0.4796521477317403,0.47989210499692775,0.46813474247491293,0.472453773021698,190732000,4.709000110626221,4.719857215881348,4.526429176330566,4.554714202880859,129444000,77.36307188934407,77.5220952115009,75.74306160378057,76.24993896484375,19190200,14.878000259399414,14.92549991607666,14.46399974822998,14.570500373840332,68428000
2015-01-13,40.037461744050454,40.838721230493306,39.261773365703235,39.517494201660156,35270600,24.70310120728101,25.00681938380781,24.144438980365567,24.43485450744629,268367600,24.704645831631876,24.909675084276444,24.385214688871766,24.572912216186523,47409807,0.47605301840463865,0.4856508525212783,0.46837475683208724,0.4717339873313904,236720000,4.602142810821533,4.704856872558594,4.590000152587891,4.625570774078369,187215000,76.75681760545976,77.60160816621499,75.38526796826591,75.9815902709961,25179600,14.87399959564209,15.074999809265137,14.661499977111816,14.737000465393066,82728000
